#    x (m)        y (m)        T(x,y) (°C)
    7.764706    0.352941   48.928395
    8.000000    0.352941   55.000000

    0.000000    0.441176   15.000000
    0.235294    0.441176   15.714661
    0.470588    0.441176   16.426332
    0.705882    0.441176   17.131882
    0.941176    0.441176   17.828340
    1.176471    0.441176   18.512963
    1.411765    0.441176   19.183316
    1.647059    0.441176   19.837330
    1.882353    0.441176   20.473366
    2.117647    0.441176   21.090271
    2.352941    0.441176   21.687430
    2.588235    0.441176   22.264821
    2.823529    0.441176   22.823067
    3.058824    0.441176   23.363505
    3.294118    0.441176   23.888259
    3.529412    0.441176   24.400342
    3.764706    0.441176   24.903777
    4.000000    0.441176   25.403768
    4.235294    0.441176   25.906918
    4.470588    0.441176   26.421530
    4.705882    0.441176   26.957998
    4.941176    0.441176   27.529343
    5.176471    0.441176   28.151928
    5.411765    0.441176   28.846418
    5.647059    0.441176   29.639063
    5.882353    0.441176   30.563383
    6.117647    0.441176   31.662313
    6.352941    0.441176   32.990740
    6.588235    0.441176   34.618046
    6.823529    0.441176   36.629446
    7.058824    0.441176   39.123225
    7.294118    0.441176   42.197839
    7.529412    0.441176   45.918888
    7.764706    0.441176   50.255918
    8.000000    0.441176   55.000000

    0.000000    0.529412   15.000000
    0.235294    0.529412   15.864866
    0.470588    0.529412   16.725959
    0.705882    0.529412   17.579348
    0.941176    0.529412   18.421299
    1.176471    0.529412   19.248364
    1.411765    0.529412   20.057473
    1.647059    0.529412   20.846006
    1.882353    0.529412   21.611866
    2.117647    0.529412   22.353543
    2.352941    0.529412   23.070173
    2.588235    0.529412   23.761588
    2.823529    0.529412   24.428379
    3.058824    0.529412   25.071953
    3.294118    0.529412   25.694614
    3.529412    0.529412   26.299651
    3.764706    0.529412   26.891461
    4.000000    0.529412   27.475707
    4.235294    0.529412   28.059522
    4.470588    0.529412   28.651781
    4.705882    0.529412   29.263450
    4.941176    0.529412   29.908039
    5.176471    0.529412   30.602187
    5.411765    0.529412   31.366386
    5.647059    0.529412   32.225884
    5.882353    0.529412   33.211721
    6.117647    0.529412   34.361830
    6.352941    0.529412   35.721935
    6.588235    0.529412   37.345664
    6.823529    0.529412   39.292725
    7.058824    0.529412   41.623072
    7.294118    0.529412   44.384012
    7.529412    0.529412   47.587183
    7.764706    0.529412   51.176363
    8.000000    0.529412   55.000000

    0.000000    0.617647   15.000000
    0.235294    0.617647   16.019290
    0.470588    0.617647   17.033918
    0.705882    0.617647   18.039054
    0.941176    0.617647   19.030107
    1.176471    0.617647   20.002837
    1.411765    0.617647   20.953458
    1.647059    0.617647   21.878727
    1.882353    0.617647   22.776028
    2.117647    0.617647   23.643436
    2.352941    0.617647   24.479778
    2.588235    0.617647   25.284688
    2.823529    0.617647   26.058658
    3.058824    0.617647   26.803094
    3.294118    0.617647   27.520383
    3.529412    0.617647   28.213972
    3.764706    0.617647   28.888475
    4.000000    0.617647   29.549808
    4.235294    0.617647   30.205366
    4.470588    0.617647   30.864245
    4.705882    0.617647   31.537530
    4.941176    0.617647   32.238641
    5.176471    0.617647   32.983761
    5.411765    0.617647   33.792319
    5.647059    0.617647   34.687515
    5.882353    0.617647   35.696816
    6.117647    0.617647   36.852256
    6.352941    0.617647   38.190280
    6.588235    0.617647   39.750592
    6.823529    0.617647   41.573223
    7.058824    0.617647   43.692697
    7.294118    0.617647   46.128188
    7.529412    0.617647   48.869566
    7.764706    0.617647   51.862318
    8.000000    0.617647   55.000000

    0.000000    0.705882   15.000000
    0.235294    0.705882   16.178873
    0.470588    0.705882   17.352066
    0.705882    0.705882   18.513729
    0.941176    0.705882   19.658301
    1.176471    0.705882   20.780644
    1.411765    0.705882   21.876166
    1.647059    0.705882   22.940923
    1.882353    0.705882   23.971706
    2.117647    0.705882   24.966116
    2.352941    0.705882   25.922620
    2.588235    0.705882   26.840597
    2.823529    0.705882   27.720387
    3.058824    0.705882   28.563327
    3.294118    0.705882   29.371807
    3.529412    0.705882   30.149329
    3.764706    0.705882   30.900587
    4.000000    0.705882   31.631576
    4.235294    0.705882   32.349726
    4.470588    0.705882   33.064074
    4.705882    0.705882   33.785471
    4.941176    0.705882   34.526829
    5.176471    0.705882   35.303388
    5.411765    0.705882   36.132988
    5.647059    0.705882   37.036295
    5.882353    0.705882   38.036891
    6.117647    0.705882   39.161081
    6.352941    0.705882   40.437177
    6.588235    0.705882   41.893894
    6.823529    0.705882   43.557424
    7.058824    0.705882   45.446700
    7.294118    0.705882   47.566723
    7.529412    0.705882   49.900678
    7.764706    0.705882   52.403299
    8.000000    0.705882   55.000000

    0.000000    0.794118   15.000000
    0.235294    0.794118   16.344675
    0.470588    0.794118   17.682498
    0.705882    0.794118   19.006452
    0.941176    0.794118   20.309869
    1.176471    0.794118   21.586594
    1.411765    0.794118   22.831121
    1.647059    0.794118   24.038715
    1.882353    0.794118   25.205504
    2.117647    0.794118   26.328556
    2.352941    0.794118   27.405928
    2.588235    0.794118   28.436703
    2.823529    0.794118   29.421023
    3.058824    0.794118   30.360109
    3.294118    0.794118   31.256291
    3.529412    0.794118   32.113043
    3.764706    0.794118   32.935038
    4.000000    0.794118   33.728212
    4.235294    0.794118   34.499859
    4.470588    0.794118   35.258750
    4.705882    0.794118   36.015261
    4.941176    0.794118   36.781525
    5.176471    0.794118   37.571569
    5.411765    0.794118   38.401422
    5.647059    0.794118   39.289124
    5.882353    0.794118   40.254569
    6.117647    0.794118   41.319051
    6.352941    0.794118   42.504347
    6.588235    0.794118   43.831124
    6.823529    0.794118   45.316458
    7.058824    0.794118   46.970375
    7.294118    0.794118   48.791587
    7.529412    0.794118   50.763226
    7.764706    0.794118   52.850149
    8.000000    0.794118   55.000000

    0.000000    0.882353   15.000000
    0.235294    0.882353   16.517908
    0.470588    0.882353   18.027605
    0.705882    0.882353   19.520731
    0.941176    0.882353   20.989351
    1.176471    0.882353   22.426147
    1.411765    0.882353   23.824581
    1.647059    0.882353   25.179032
    1.882353    0.882353   26.484892
    2.117647    0.882353   27.738641
    2.352941    0.882353   28.937888
    2.588235    0.882353   30.081392
    2.823529    0.882353   31.169073
    3.058824    0.882353   32.202007
    3.294118    0.882353   33.182427
    3.529412    0.882353   34.113733
    3.764706    0.882353   35.000501
    4.000000    0.882353   35.848519
    4.235294    0.882353   36.664834
    4.470588    0.882353   37.457812
    4.705882    0.882353   38.237211
    4.941176    0.882353   39.014245
    5.176471    0.882353   39.801628
    5.411765    0.882353   40.613562
    5.647059    0.882353   41.465623
    5.882353    0.882353   42.374472
    6.117647    0.882353   43.357312
    6.352941    0.882353   44.430982
    6.588235    0.882353   45.610573
    6.823529    0.882353   46.907519
    7.058824    0.882353   48.327195
    7.294118    0.882353   49.866295
    7.529412    0.882353   51.510593
    7.764706    0.882353   53.234011
    8.000000    0.882353   55.000000

    0.000000    0.970588   15.000000
    0.235294    0.970588   16.699965
    0.470588    0.970588   18.390133
    0.705882    0.970588   20.060589
    0.941176    0.970588   21.701938
    1.176471    0.970588   23.305534
    1.411765    0.970588   24.863673
    1.647059    0.970588   26.369744
    1.882353    0.970588   27.818332
    2.117647    0.970588   29.205285
    2.352941    0.970588   30.527743
    2.588235    0.970588   31.784133
    2.823529    0.970588   32.974151
    3.058824    0.970588   34.098730
    3.294118    0.970588   35.160004
    3.529412    0.970588   36.161277
    3.764706    0.970588   37.107002
    4.000000    0.970588   38.002771
    4.235294    0.970588   38.855322
    4.470588    0.970588   39.672549
    4.705882    0.970588   40.463524
    4.941176    0.970588   41.238500
    5.176471    0.970588   42.008893
    5.411765    0.970588   42.787196
    5.647059    0.970588   43.586807
    5.882353    0.970588   44.421699
    6.117647    0.970588   45.305896
    6.352941    0.970588   46.252676
    6.588235    0.970588   47.273474
    6.823529    0.970588   48.376482
    7.058824    0.970588   49.565044
    7.294118    0.970588   50.836081
    7.529412    0.970588   52.178945
    7.764706    0.970588   53.575233
    8.000000    0.970588   55.000000

    0.000000    1.058824   15.000000
    0.235294    1.058824   16.892458
    0.470588    1.058824   18.773257
    0.705882    1.058824   20.630668
    0.941176    1.058824   22.453607
    1.176471    1.058824   24.231905
    1.411765    1.058824   25.956542
    1.647059    1.058824   27.619807
    1.882353    1.058824   29.215415
    2.117647    1.058824   30.738554
    2.352941    1.058824   32.185893
    2.588235    1.058824   33.555548
    2.823529    1.058824   34.847026
    3.058824    1.058824   36.061150
    3.294118    1.058824   37.199986
    3.529412    1.058824   38.266764
    3.764706    1.058824   39.265824
    4.000000    1.058824   40.202558
    4.235294    1.058824   41.083381
    4.470588    1.058824   41.915700
    4.705882    1.058824   42.707895
    4.941176    1.058824   43.469284
    5.176471    1.058824   44.210062
    5.411765    1.058824   44.941195
    5.647059    1.058824   45.674227
    5.882353    1.058824   46.420978
    6.117647    1.058824   47.193083
    6.352941    1.058824   48.001363
    6.588235    1.058824   48.854996
    6.823529    1.058824   49.760540
    7.058824    1.058824   50.720884
    7.294118    1.058824   51.734321
    7.529412    1.058824   52.793978
    7.764706    1.058824   53.887901
    8.000000    1.058824   55.000000

    0.000000    1.147059   15.000000
    0.235294    1.147059   17.097269
    0.470588    1.147059   19.180677
    0.705882    1.147059   21.236366
    0.941176    1.147059   23.251282
    1.176471    1.147059   25.213507
    1.411765    1.147059   27.112532
    1.647059    1.147059   28.939442
    1.882353    1.147059   30.687025
    2.117647    1.147059   32.349803
    2.352941    1.147059   33.924006
    2.588235    1.147059   35.407499
    2.823529    1.147059   36.799668
    3.058824    1.147059   38.101307
    3.294118    1.147059   39.314483
    3.529412    1.147059   40.442420
    3.764706    1.147059   41.489389
    4.000000    1.147059   42.460624
    4.235294    1.147059   43.362241
    4.470588    1.147059   44.201187
    4.705882    1.147059   44.985180
    4.941176    1.147059   45.722665
    5.176471    1.147059   46.422729
    5.411765    1.147059   47.095001
    5.647059    1.147059   47.749479
    5.882353    1.147059   48.396284
    6.117647    1.147059   49.045304
    6.352941    1.147059   49.705725
    6.588235    1.147059   50.385453
    6.823529    1.147059   51.090456
    7.058824    1.147059   51.824104
    7.294118    1.147059   52.586626
    7.529412    1.147059   53.374843
    7.764706    1.147059   54.182313
    8.000000    1.147059   55.000000

    0.000000    1.235294   15.000000
    0.235294    1.235294   17.316614
    0.470588    1.235294   19.616742
    0.705882    1.235294   21.884004
    0.941176    1.235294   24.103035
    1.176471    1.235294   26.259901
    1.411765    1.235294   28.342416
    1.647059    1.235294   30.340350
    1.882353    1.235294   32.245529
    2.117647    1.235294   34.051838
    2.352941    1.235294   35.755145
    2.588235    1.235294   37.353163
    2.823529    1.235294   38.845289
    3.058824    1.235294   40.232408
    3.294118    1.235294   41.516712
    3.529412    1.235294   42.701523
    3.764706    1.235294   43.791140
    4.000000    1.235294   44.790706
    4.235294    1.235294   45.706102
    4.470588    1.235294   46.543863
    4.705882    1.235294   47.311108
    4.941176    1.235294   48.015476
    5.176471    1.235294   48.665062
    5.411765    1.235294   49.268326
    5.647059    1.235294   49.833972
    5.882353    1.235294   50.370775
    6.117647    1.235294   50.887346
    6.352941    1.235294   51.391820
    6.588235    1.235294   51.891489
    6.823529    1.235294   52.392391
    7.058824    1.235294   52.898922
    7.294118    1.235294   53.413522
    7.529412    1.235294   53.936555
    7.764706    1.235294   54.466424
    8.000000    1.235294   55.000000

    0.000000    1.323529   15.000000
    0.235294    1.323529   17.553130
    0.470588    1.323529   20.086610
    0.705882    1.323529   22.581047
    0.941176    1.323529   25.018351
    1.176471    1.323529   27.382250
    1.411765    1.323529   29.658671
    1.647059    1.323529   31.835969
    1.882353    1.323529   33.905004
    2.117647    1.323529   35.859101
    2.352941    1.323529   37.693895
    2.588235    1.323529   39.407125
    2.823529    1.323529   40.998376
    3.058824    1.323529   42.468816
    3.294118    1.323529   43.820937
    3.529412    1.323529   45.058313
    3.764706    1.323529   46.185402
    4.000000    1.323529   47.207365
    4.235294    1.323529   48.129933
    4.470588    1.323529   48.959301
    4.705882    1.323529   49.702050
    4.941176    1.323529   50.365087
    5.176471    1.323529   50.955599
    5.411765    1.323529   51.481000
    5.647059    1.323529   51.948877
    5.882353    1.323529   52.366899
    6.117647    1.323529   52.742708
    6.352941    1.323529   53.083761
    6.588235    1.323529   53.397143
    6.823529    1.323529   53.689361
    7.058824    1.323529   53.966141
    7.294118    1.323529   54.232269
    7.529412    1.323529   54.491524
    7.764706    1.323529   54.746737
    8.000000    1.323529   55.000000

    0.000000    1.411765   15.000000
    0.235294    1.411765   17.809979
    0.470588    1.411765   20.596457
    0.705882    1.411765   23.336400
    0.941176    1.411765   26.008470
    1.176471    1.411765   28.593677
    1.411765    1.411765   31.075835
    1.647059    1.411765   33.441800
    1.882353    1.411765   35.681514
    2.117647    1.411765   37.787882
    2.352941    1.411765   39.756527
    2.588235    1.411765   41.585459
    2.823529    1.411765   43.274723
    3.058824    1.411765   44.826027
    3.294118    1.411765   46.242397
    3.529412    1.411765   47.527872
    3.764706    1.411765   48.687239
    4.000000    1.411765   49.725815
    4.235294    1.411765   50.649288
    4.470588    1.411765   51.463593
    4.705882    1.411765   52.174832
    4.941176    1.411765   52.789229
    5.176471    1.411765   53.313114
    5.411765    1.411765   53.752920
    5.647059    1.411765   54.115197
    5.882353    1.411765   54.406628
    6.117647    1.411765   54.634041
    6.352941    1.411765   54.804404
    6.588235    1.411765   54.924806
    6.823529    1.411765   55.002425
